n,x,y
0,2.129580176,-0.325381062
1,20.47955847,-9.975410203
2,-0.582164215,-18.30301547
3,20.23319595,-7.52933451
4,-14.20113695,13.9437634
5,-14.26786829,15.3369785
6,3.793160329,6.452514555
7,12.84436659,14.26150527
8,17.04248108,-9.610037068
9,-10.36744913,2.117059805
10,-5.682646355,3.007045569
11,-7.986075206,-3.125456027
12,-7.641484845,15.70637086
13,19.04667934,-7.514291269
14,-13.59379062,9.942280288
15,-15.19883833,0.34781204
16,-19.14759911,-14.55514313
17,-3.539023468,-11.98812753
18,14.50947442,2.136247042
19,2.129580177,-0.32538106
