n,x,y
0,-2.550309935,1.134863542
1,11.07715634,6.522371486
2,-11.80781764,8.149365437
3,-8.893271059,-15.4803517
4,13.72825715,9.139219535
5,11.50621993,-5.528970125
6,2.273378124,21.27826348
7,15.61402019,-6.720378914
8,-23.5705696,-10.18028129
9,4.791508347,15.08184656
10,9.580422273,-9.647595073
11,10.20255386,-2.212163432
12,-19.07429476,-0.250178075
13,-17.0915053,-17.57872224
14,5.61816857,-1.722171032
15,8.827163344,-16.27081568
16,-7.326070656,15.29405182
17,-1.190538271,-2.564821365
18,0.835839003,10.42160353
19,-2.550309935,1.134863542
