n,x,y
0,-4.179335987,1.531239648
1,12.62440892,-1.843864731
2,-3.76999963,-10.07816753
3,-8.824848102,-12.74046159
4,9.381327772,-13.2862273
5,-3.294461272,30.20910385
6,-5.110723965,17.6610969
7,-5.449292114,10.34290061
8,14.09391028,-3.983446737
9,-3.155845475,-17.54494042
10,9.419678091,11.05040859
11,-8.848709695,-12.14642787
12,7.908035028,-11.20707407
13,-12.90533625,9.010177438
14,9.767684586,-8.015905947
15,1.424490839,14.16805535
16,5.387018007,10.24315026
17,-4.224254733,7.525368145
18,-6.064410307,-22.42622426
19,-4.179335989,1.531239647
