n,x,y
0,3.993288125,0.467390269
1,-12.54834458,-1.587021688
2,4.148000942,-10.79818109
3,8.086985648,-14.02256547
4,-10.73909912,-14.00867707
5,4.437554859,29.28938623
6,4.828245757,17.03597544
7,5.475247305,9.44488068
8,-14.44631497,-3.683197855
9,2.370239205,-18.72191152
10,-7.329341025,12.46417475
11,-0.394395149,-12.55209694
12,-10.10298488,-5.460265615
13,12.81178455,8.587634397
14,-10.50097286,5.10970101
15,11.43027409,4.259790355
16,-4.585380084,9.798029554
17,3.195789327,7.052025449
18,5.876134728,-23.14246116
19,3.993288125,0.467390269
