n,x,y
0,-3.98615441,-0.524687404
1,12.52407502,1.767113894
2,-4.302574364,10.73747863
3,-8.287600648,13.90486391
4,10.53655631,14.16167139
5,-4.014674063,-29.35031905
6,-4.583292766,-17.10354089
7,-5.339033248,-9.522563198
8,14.391924,3.890144089
9,-2.639077509,18.68595126
10,7.507556179,-12.35752697
11,0.214110061,12.55651533
12,10.02401115,5.605279967
13,-12.68713709,-8.770843908
14,10.57308373,-4.958205639
15,-11.36783626,-4.423676564
16,4.725630137,-9.731088783
17,-3.094198038,-7.097177373
18,-6.209213766,23.05529869
19,-3.98615441,-0.524687404
