n,x,y
0,1.342384502,-1.684490924
1,8.271583845,-21.22503363
2,-12.84940041,-13.04745446
3,9.751643733,-19.26067087
4,-0.957844819,19.87769779
5,-0.076380507,20.9484738
6,7.164340548,2.164303277
7,19.11213936,1.756739894
8,5.994627565,-18.62430632
9,-6.177834694,8.591231727
10,-2.13345585,6.0650993
11,-7.986909774,3.124770947
12,5.048182828,16.72115898
13,8.887785134,-18.44582507
14,-3.235869026,16.52789174
15,-10.92644215,10.5711431
16,-23.94107705,2.304669449
17,-10.73558761,-6.40260645
18,12.10572986,-8.278301365
19,1.342384502,-1.684490924
