n,x,y
0,0.646667372,-2.714891169
1,-11.90575393,4.846960895
2,0.686842951,-14.3302219
3,17.70124847,2.323747924
4,-15.59483098,5.364988039
5,-2.587313335,12.50107106
6,-18.29077038,-11.10693599
7,-4.135012308,16.48857101
8,22.39554934,-12.55554978
9,-14.89512278,-5.343021443
10,1.854707373,13.46985131
11,-4.432394926,9.452011831
12,11.76988524,-15.01307663
13,24.34346495,-2.91976408
14,-2.039435029,5.51116585
15,7.575736084,16.89036668
16,-7.711968474,-15.10264878
17,2.762102963,0.610944292
18,-8.790269968,-5.658677944
19,0.646667372,-2.714891169
