n,x,y
0,-4.289796599,-1.19024194
1,12.73145979,0.823365185
2,-2.948002448,10.34859876
3,-7.772206238,13.40867973
4,10.41884902,12.48916951
5,-5.707962055,-29.84732161
6,-6.511742415,-17.19395234
7,-6.263671279,-9.871398234
8,14.36824804,2.83785711
9,-1.734590537,17.74201823
10,8.500866259,-11.77138883
11,-7.843779455,12.81847726
12,8.783057884,10.53523328
13,-13.5879233,-7.944271563
14,10.38009142,7.204938946
15,0.280911223,-14.23639756
16,4.545908922,-10.64263414
17,-4.816248594,-7.161359493
18,-4.243673036,22.84086964
19,-4.289796599,-1.19024194
