n,x,y
0,-0.865902333,-3.926205314
1,2.838700749,12.3256308
2,10.32723313,-5.211027546
3,13.1399004,-9.45380756
4,15.01598688,9.278551546
5,-29.58691326,-1.474592191
6,-17.4346088,-3.093714329
7,-9.946814056,-4.499459162
8,5.114818303,14.00358866
9,18.38940691,-4.237691083
10,-11.66543112,8.543540904
11,12.52829262,-0.867650746
12,6.446903896,9.503819005
13,-9.830399677,-11.88498505
14,-4.02971935,10.96086079
15,-5.385729622,-10.94491156
16,-9.288214452,5.545797368
17,-7.337216351,-2.471729616
18,22.43560846,-8.169809608
19,-0.865902333,-3.926205314
