n,x,y
0,-1.736694194,1.272809135
1,-13.55177026,18.30996311
2,8.97302279,15.96314555
3,-14.46484366,16.02641113
4,6.148593896,-18.92882028
5,5.562231752,-20.19528173
6,-6.344268319,-3.969228541
7,-17.98063709,-6.711456947
8,-10.67447954,16.39650303
9,8.21741054,-6.668508098
10,3.651862332,-5.292472075
11,8.527815654,-0.91899987
12,-0.481724318,-17.45967934
13,-13.42198513,15.46246835
14,7.462039024,-15.09913275
15,13.31887352,-7.332673986
16,23.70569308,4.065118001
17,8.678393761,8.996061464
18,-13.85283974,4.810964638
19,-1.736694105,1.272809218
