n,x,y
0,2.62691726,-0.947829275
1,-3.474650195,12.3758213
2,14.16274418,-2.29702803
3,-4.307166134,-17.32617972
4,-3.575856004,16.09960625
5,-12.12904715,3.979023091
6,13.09383941,16.92605772
7,-15.91775084,5.96414141
8,9.949906787,-23.66860321
9,6.986501784,14.19903978
10,-13.59188146,-0.32568185
11,-8.891605675,5.468558963
12,13.58972001,-13.38819282
13,0.157515898,-24.51727972
14,-5.244810031,2.647367963
15,-17.63576847,-5.624455766
16,15.87626951,5.961391755
17,-0.915958374,-2.675171127
18,6.61416223,8.097242565
19,2.62691726,-0.947829275
