n,x,y
0,2.121515519,0.372387517
1,20.24925245,10.43437663
2,-0.99294654,18.2850691
3,20.05961306,7.979815433
4,-13.88307735,-14.26072797
5,-13.91581978,-15.65670721
6,3.936766052,-6.365667484
7,13.1615827,-13.96912253
8,16.82227395,9.98993391
9,-10.31854932,-2.348595731
10,-5.61491951,-3.132836713
11,-8.05492871,2.945321998
12,-7.287328991,-15.87330592
13,18.8721977,7.942338598
14,-13.36812689,-10.24484323
15,-15.18800436,-0.689667053
16,-19.467374,14.12447216
17,-3.807316366,11.90520314
18,14.55367486,-1.80983216
19,2.121515519,0.372387518
