n,x,y
0,-0.826726428,-2.666253063
1,-7.776864303,10.23513605
2,-6.7082699,-12.68228115
3,16.41598776,-7.016734828
4,-10.68763228,12.56003433
5,4.140588301,12.07555034
6,-21.39779414,-0.241145303
7,4.839896164,16.29536466
8,12.88006579,-22.21050448
9,-15.53969621,2.988752435
10,8.456614423,10.64677031
11,0.999859073,10.39132347
12,2.481813784,-18.91500023
13,19.46381972,-14.90953867
14,1.051802942,5.78107284
15,15.1220941,10.67664312
16,-14.32950519,-9.068657271
17,2.687654301,-0.881591705
18,-10.44698149,-0.392687789
19,-0.826726428,-2.666253063
