PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS
B10 0SP,10,N,15,15,12,3,0,15,0,409470,285890,E92000001,E19000001,E18000005,,E08000025,E05011127,S
B10 9SP,10,N,33,32,22,11,0,32,1,409888,285765,E92000001,E19000001,E18000005,,E08000025,E05011167,S
B11 1SP,10,N,9,9,9,0,0,9,0,408161,285062,E92000001,E19000001,E18000005,,E08000025,E05011170,S
B12 8SP,10,N,15,15,15,0,0,15,0,408172,284176,E92000001,E19000001,E18000005,,E08000025,E05011170,S
B12 9SP,10,N,31,31,31,0,0,31,0,407648,284676,E92000001,E19000001,E18000005,,E08000025,E05011122,S
B13 9SP,10,N,5,5,5,0,0,5,0,407741,282446,E92000001,E19000001,E18000005,,E08000025,E05011154,S
B14 4SP,10,N,11,10,7,4,0,10,1,408460,279560,E92000001,E19000001,E18000005,,E08000025,E05011146,S
B14 5SP,10,N,11,11,11,0,0,11,0,407620,278561,E92000001,E19000001,E18000005,,E08000025,E05011133,S
B14 6SP,10,N,33,33,33,0,0,33,0,406780,281111,E92000001,E19000001,E18000005,,E08000025,E05011130,S
B14 7SP,10,N,1,1,0,1,0,1,0,407348,282234,E92000001,E19000001,E18000005,,E08000025,E05011130,L
B16 0SP,10,N,8,8,8,0,0,8,0,403829,286577,E92000001,E19000001,E18000005,,E08000025,E05011157,S
B16 8SP,10,N,6,6,3,3,0,6,0,405339,286128,E92000001,E19000001,E18000005,,E08000025,E05011151,S
B17 0SP,10,N,39,39,39,0,0,39,0,402620,284074,E92000001,E19000001,E18000005,,E08000025,E05011144,S
B17 8SP,10,N,10,10,10,0,0,10,0,401985,285445,E92000001,E19000001,E18000005,,E08000025,E05011163,S
B17 9SP,10,N,6,6,6,0,0,6,0,403227,284769,E92000001,E19000001,E18000005,,E08000025,E05011144,S
B18 5SP,10,N,23,23,23,0,0,23,0,404948,288334,E92000001,E19000001,E18000005,,E08000025,E05011168,S
B19 3SP,10,N,2,2,1,1,0,2,0,407036,287811,E92000001,E19000001,E18000005,,E08000025,E05011156,S
B2  2SP,10,N,1,1,0,1,0,1,0,406672,286966,E92000001,E19000001,E18000005,,E08000025,E05011151,S
B2  4SP,10,N,1,1,1,0,0,1,0,407116,286802,E92000001,E19000001,E18000005,,E08000025,E05011151,S
B20 3SP,10,N,45,45,45,0,0,45,0,405751,289578,E92000001,E19000001,E18000005,,E08000025,E05011125,S
B21 9SP,10,N,14,14,8,6,0,14,0,404961,289329,E92000001,E19000001,E18000005,,E08000025,E05011168,S
B23 7SP,10,N,28,28,28,0,0,28,0,408733,291907,E92000001,E19000001,E18000005,,E08000025,E05011173,S
B24 0SP,10,N,26,26,25,1,0,26,0,412602,291837,E92000001,E19000001,E18000005,,E08000025,E05011162,S
B24 9SP,10,N,8,8,8,0,0,8,0,411664,290947,E92000001,E19000001,E18000005,,E08000025,E05011162,S
B25 8SP,10,N,35,35,35,0,0,35,0,412633,286077,E92000001,E19000001,E18000005,,E08000025,E05011186,S
B26 1SP,10,N,18,18,18,0,0,18,0,413248,285469,E92000001,E19000001,E18000005,,E08000025,E05011185,S
B26 2SP,10,N,6,6,6,0,0,6,0,415029,285265,E92000001,E19000001,E18000005,,E08000025,E05011137,S
B26 3SP,10,N,54,54,54,0,0,54,0,415569,284382,E92000001,E19000001,E18000005,,E08000025,E05011166,S
B27 6SP,10,N,21,21,21,0,0,21,0,412867,283785,E92000001,E19000001,E18000005,,E08000025,E05011169,S
B27 7SP,10,N,22,22,22,0,0,22,0,411086,282432,E92000001,E19000001,E18000005,,E08000025,E05011182,S
B28 0SP,10,N,26,26,26,0,0,26,0,410198,279157,E92000001,E19000001,E18000005,,E08000025,E05011124,S
B28 8SP,10,N,14,14,6,8,0,14,0,410855,282806,E92000001,E19000001,E18000005,,E08000025,E05011182,S
B29 5SP,10,N,8,8,8,0,0,8,0,402622,282981,E92000001,E19000001,E18000005,,E08000025,E05011184,S
B29 6SP,10,N,1,1,0,1,0,1,0,404051,282624,E92000001,E19000001,E18000005,,E08000025,E05011184,L
B29 7SP,10,N,46,46,46,0,0,46,0,405194,281864,E92000001,E19000001,E18000005,,E08000025,E05011128,S
B3  3SP,10,N,1,1,0,1,0,1,0,406634,287068,E92000001,E19000001,E18000005,,E08000025,E05011151,L
B30 1SP,10,N,12,12,12,0,0,12,0,403198,280322,E92000001,E19000001,E18000005,,E08000025,E05011129,S
B31 1SP,10,N,39,39,39,0,0,39,0,401293,279671,E92000001,E19000001,E18000005,,E08000025,E05011119,S
B31 2SP,10,N,18,17,10,8,0,17,1,401320,278275,E92000001,E19000001,E18000005,,E08000025,E05011158,S
B31 4SP,10,N,38,38,38,0,0,38,0,402746,276901,E92000001,E19000001,E18000005,,E08000025,E05011152,S
