Employee,Employee No,Employee Postcode,Area Code,Client,Address,Address2,Town,County,Postcode,Area,Funder,Date,Start Time,End Time,Pay Rate,Hours of call,Miles,Estimated Time (Mins)
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,2-Nov-20,7:15 AM,7:45 AM,Half Hour Care Rate,0.5,,
Carer 1,,SN3 2RP,,Client 107,,,,,SN3 4DW,Swindon,Private 2016,2-Nov-20,8:00 AM,8:45 AM,Weekday Three Quarter Hour,0.75,4.325,12.31
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,2-Nov-20,9:00 AM,9:30 AM,Half Hour Care Rate,0.5,4.034,11.56
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,2-Nov-20,9:45 AM,10:15 AM,Half Hour Care Rate,0.5,4.927,10.32
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,2-Nov-20,11:00 AM,11:30 AM,Half Hour Care Rate,0.5,8.367,16.5
Carer 1,,SN3 2RP,,Client 107,,,,,SN3 4DW,Swindon,Private 2016,2-Nov-20,12:15 PM,12:45 PM,Weekday Half Hour,0.5,4.325,12.31
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,2-Nov-20,1:00 PM,1:30 PM,Half Hour Care Rate,0.5,4.034,11.56
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,2-Nov-20,1:30 PM,2:00 PM,Half Hour Care Rate,0.5,4.927,10.32
Carer 1,,SN3 2RP,,Client 65,,,,,SN4 8EH,Swindon,Social Services Zone 2,2-Nov-20,6:00 PM,6:30 PM,Weekday Half Hour,0.5,10.74,21.37
Carer 1,,SN3 2RP,SW02,Client 73,,,,,SN4 9AN,Swindon,Social Services,2-Nov-20,6:30 PM,7:00 PM,Half Hour Care Rate,0.5,8.236,17.22
Carer 1,,SN3 2RP,,Client 79,,,,,SN4 9HN,Swindon,First City Nursing Services,2-Nov-20,7:00 PM,7:30 PM,Half Hour Care Rate,0.5,0.815,3.31
Carer 1,,SN3 2RP,,Client 117,,,,,SN25 3LU,Swindon,Private 2016,2-Nov-20,7:45 PM,8:00 PM,Weekday Fifteen Minutes Night,0.25,6.246,15.57
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,2-Nov-20,8:15 PM,8:45 PM,Half Hour Care Rate,0.5,1.477,5.59
Carer 1,,SN3 2RP,,Client 158,,,,,SN5 8RD,Swindon,First City Nursing Services,2-Nov-20,8:45 PM,9:15 PM,Half Hour Care Rate,0.5,3.581,9.34
Carer 1,,SN3 2RP,,Client 65,,,,,SN4 8EH,Swindon,Social Services Zone 2,3-Nov-20,6:00 PM,6:30 PM,Weekday Half Hour,0.5,,
Carer 1,,SN3 2RP,SW02,Client 73,,,,,SN4 9AN,Swindon,Social Services,3-Nov-20,6:30 PM,7:00 PM,Half Hour Care Rate,0.5,8.236,17.22
Carer 1,,SN3 2RP,,Client 79,,,,,SN4 9HN,Swindon,First City Nursing Services,3-Nov-20,7:15 PM,7:45 PM,Half Hour Care Rate,0.5,0.815,3.31
Carer 1,,SN3 2RP,,Client 117,,,,,SN25 3LU,Swindon,Private 2016,3-Nov-20,7:45 PM,8:00 PM,Weekday Fifteen Minutes Night,0.25,6.246,15.57
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,3-Nov-20,8:00 PM,8:30 PM,Half Hour Care Rate,0.5,4.864,13.13
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,3-Nov-20,8:30 PM,9:00 PM,Half Hour Care Rate,0.5,5.239,14.12
Carer 1,,SN3 2RP,,Client 158,,,,,SN5 8RD,Swindon,First City Nursing Services,3-Nov-20,9:00 PM,9:30 PM,Half Hour Care Rate,0.5,3.581,9.34
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,7-Nov-20,7:15 AM,7:45 AM,Half Hour Care Rate,0.5,,
Carer 1,,SN3 2RP,,Client 107,,,,,SN3 4DW,Swindon,Private 2016,7-Nov-20,8:00 AM,8:45 AM,Weekend Three Quarter Hour,0.75,4.325,12.31
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,7-Nov-20,9:15 AM,9:45 AM,Half Hour Care Rate,0.5,4.034,11.56
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,7-Nov-20,10:00 AM,10:30 AM,Half Hour Care Rate,0.5,4.927,10.32
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,7-Nov-20,11:00 AM,11:30 AM,Half Hour Care Rate,0.5,8.367,16.5
Carer 1,,SN3 2RP,,Client 65,,,,,SN4 8EH,Swindon,Social Services Zone 2,7-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,5.556,15.15
Carer 1,,SN3 2RP,SW02,Client 73,,,,,SN4 9AN,Swindon,Social Services,7-Nov-20,6:00 PM,6:30 PM,Half Hour Care Rate,0.5,8.236,17.22
Carer 1,,SN3 2RP,,Client 117,,,,,SN25 3LU,Swindon,Private 2016,7-Nov-20,7:00 PM,7:15 PM,Weekend Fifteen Minutes Night,0.25,6.452,19.02
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,7-Nov-20,7:15 PM,7:45 PM,Half Hour Care Rate,0.5,7.999,16.24
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,7-Nov-20,7:45 PM,8:15 PM,Half Hour Care Rate,0.5,4.927,10.26
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,7-Nov-20,8:30 PM,9:00 PM,Half Hour Care Rate,0.5,5.239,14.12
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,8-Nov-20,7:15 AM,7:45 AM,Half Hour Care Rate,0.5,,
Carer 1,,SN3 2RP,,Client 107,,,,,SN3 4DW,Swindon,Private 2016,8-Nov-20,8:00 AM,8:45 AM,Weekend Three Quarter Hour,0.75,4.325,12.31
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,8-Nov-20,9:15 AM,9:45 AM,Half Hour Care Rate,0.5,4.034,11.56
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,8-Nov-20,10:00 AM,10:30 AM,Half Hour Care Rate,0.5,4.927,10.32
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,8-Nov-20,11:00 AM,11:30 AM,Half Hour Care Rate,0.5,8.367,16.5
Carer 1,,SN3 2RP,,Client 65,,,,,SN4 8EH,Swindon,Social Services Zone 2,8-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,5.556,15.15
Carer 1,,SN3 2RP,SW02,Client 73,,,,,SN4 9AN,Swindon,Social Services,8-Nov-20,6:00 PM,6:30 PM,Half Hour Care Rate,0.5,8.236,17.22
Carer 1,,SN3 2RP,,Client 117,,,,,SN25 3LU,Swindon,Private 2016,8-Nov-20,7:00 PM,7:15 PM,Weekend Fifteen Minutes Night,0.25,6.452,19.02
Carer 1,,SN3 2RP,,Client 33,,,,,SN6 6LD,Swindon,First City Nursing Services,8-Nov-20,7:15 PM,7:45 PM,Half Hour Care Rate,0.5,7.999,16.24
Carer 1,,SN3 2RP,,Client 23,,,,,SN6 7RZ,Swindon,First City Nursing Services,8-Nov-20,7:45 PM,8:15 PM,Half Hour Care Rate,0.5,4.927,10.26
Carer 1,,SN3 2RP,,Client 194,,,,,SN2 2FJ,Swindon,CCG,8-Nov-20,8:30 PM,9:00 PM,Half Hour Care Rate,0.5,5.239,14.12
Carer 2,,BA14 8NZ,,Client 111,,,,,BA14 6RA,N.Wiltshire,Private 2016,6-Nov-20,7:00 AM,7:30 AM,Weekday Half Hour,0.5,,
Carer 2,,BA14 8NZ,BO01,Client 166,,,,,BA14 9TP,N.Wiltshire,Private 2016,6-Nov-20,7:45 AM,8:45 AM,Weekday Hour,1,4.406,14.28
Carer 2,,BA14 8NZ,,Client 199,,,,,BA14 7HY,N.Wiltshire,CCG Zone 1,6-Nov-20,9:00 AM,9:45 AM,Weekday Three Quarter Hour,0.75,2.837,8.31
Carer 2,,BA14 8NZ,BO01,Client 140,,,,,BA15 1EJ,N.Wiltshire,Private 2016,6-Nov-20,10:00 AM,11:00 AM,Weekday Hour,1,5.076,12.32
Carer 2,,BA14 8NZ,BO01,Client 83,,,,,BA2 7JR,N.Wiltshire,Private 2016,6-Nov-20,11:15 AM,11:45 AM,Weekday Half Hour,0.5,3.297,9.56
Carer 2,,BA14 8NZ,BO01,Client 166,,,,,BA14 9TP,N.Wiltshire,Private 2016,6-Nov-20,12:00 PM,12:30 PM,Weekday Half Hour,0.5,6.018,16.08
Carer 2,,BA14 8NZ,BO01,Client 18,,,,,BA151EG,N.Wiltshire,,6-Nov-20,1:00 PM,2:00 PM,,1,2.729,7.1
Carer 3,,BA14 0EQ,BO01,Client 6,,,,,BA14 7EF,N.Wiltshire,Direct Payments,3-Nov-20,7:00 AM,8:00 AM,Weekday Hour,1,,
Carer 3,,BA14 0EQ,BO01,Client 183,,,,,BA15 1AR,N.Wiltshire,Private 2016,3-Nov-20,8:30 AM,9:00 AM,Weekday Half Hour,0.5,4.969,12.32
Carer 3,,BA14 0EQ,BO01,Client 99,,,,,BA15 1PW,N.Wiltshire,Private 2016,3-Nov-20,9:15 AM,9:45 AM,Weekday Half Hour,0.5,0.843,3.48
Carer 3,,BA14 0EQ,BO01,Client 210,,,,,BA15 2DU,N.Wiltshire,Private 2016,3-Nov-20,10:00 AM,10:45 AM,Weekday Three Quarter Hour,0.75,4.207,15.34
Carer 3,,BA14 0EQ,BO01,Client 127,,,,,BA15 1US,N.Wiltshire,Direct Payments,3-Nov-20,11:00 AM,11:15 AM,Weekday Fifteen Minutes,0.25,2.31,8.46
Carer 3,,BA14 0EQ,BO01,Client 17,,,,,BA151EG,N.Wiltshire,,3-Nov-20,11:30 AM,12:30 PM,,1,0.928,3.55
Carer 3,,BA14 0EQ,BO01,Client 134,,,,,BA15 2SB,N.Wiltshire,Private 2016,3-Nov-20,12:45 PM,1:30 PM,Weekday Three Quarter Hour,0.75,3.956,11.47
Carer 3,,BA14 0EQ,BO01,Client 229,,,,,BA14 7LH,N. Wilts Live-In,Social Services Zone 1,3-Nov-20,1:45 PM,3:45 PM,Carer Relief Social,2,5.471,12.48
Carer 3,,BA14 0EQ,BO01,Client 58,,,,,BA15 1HG,N.Wiltshire,Private,3-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,3.532,9.37
Carer 3,,BA14 0EQ,BO01,Client 43,,,,,BA15 1EA,N.Wiltshire,Private 2016,4-Nov-20,8:00 AM,8:30 AM,Weekday Half Hour,0.5,,
Carer 3,,BA14 0EQ,BO01,Client 9,,,,,BA15 2JJ,N.Wiltshire,Private 2016,4-Nov-20,8:45 AM,9:15 AM,Weekday Half Hour,0.5,3,9.57
Carer 3,,BA14 0EQ,,Client 123,,,,,BA15 2NJ,N.Wiltshire,Social Services Zone 1,4-Nov-20,9:15 AM,10:00 AM,Weekday Three Quarter Hour,0.75,0.513,3.16
Carer 3,,BA14 0EQ,BO01,Client 162,,,,,BA15 1SF,N.Wiltshire,Social Services Zone 1,4-Nov-20,10:15 AM,11:00 AM,Weekday Three Quarter Hour,0.75,2.167,6.17
Carer 3,,BA14 0EQ,BO01,Client 134,,,,,BA15 2SB,N.Wiltshire,Private 2016,4-Nov-20,11:30 AM,12:15 PM,Weekday Three Quarter Hour,0.75,2.612,6.11
Carer 3,,BA14 0EQ,BO01,Client 130,,,,,BA15 1AL,N. Wilts Live-In,Social Services Zone 1,4-Nov-20,12:45 PM,2:45 PM,Carer Relief Social,2,2.956,7.17
Carer 3,,BA14 0EQ,BO01,Client 206,,,,,BA14 8AH,N.Wiltshire,Social Services Zone 1,4-Nov-20,3:00 PM,5:00 PM,Weekday Hour,2,4.079,13.33
Carer 3,,BA14 0EQ,BO01,Client 6,,,,,BA14 7EF,N.Wiltshire,Direct Payments,5-Nov-20,7:00 AM,8:00 AM,Weekday Hour,1,,
Carer 3,,BA14 0EQ,BO01,Client 67,,,,,BA2 7JQ,N.Wiltshire,Private 2016,5-Nov-20,8:30 AM,9:00 AM,Weekday Half Hour,0.5,7.25,19.57
Carer 3,,BA14 0EQ,BO01,Client 99,,,,,BA15 1PW,N.Wiltshire,Private 2016,5-Nov-20,9:15 AM,9:45 AM,Weekday Half Hour,0.5,2.462,5.22
Carer 3,,BA14 0EQ,BO01,Client 58,,,,,BA15 1HG,N.Wiltshire,Private,5-Nov-20,10:00 AM,12:00 PM,Weekday Hour,2,1.925,8.14
Carer 3,,BA14 0EQ,BO01,Client 58,,,,,BA15 1HG,N.Wiltshire,Private,5-Nov-20,12:00 PM,1:00 PM,Weekday Home Help Hour,1,,
Carer 3,,BA14 0EQ,BO01,Client 17,,,,,BA151EG,N.Wiltshire,,5-Nov-20,2:15 PM,3:45 PM,,1.5,0.437,2.28
Carer 3,,BA14 0EQ,BO01,Client 122,,,,,BA15 1JJ,N.Wiltshire,,5-Nov-20,4:00 PM,5:15 PM,,1.25,0.277,1.48
Carer 3,,BA14 0EQ,BO01,Client 6,,,,,BA14 7EF,N.Wiltshire,Direct Payments,6-Nov-20,7:00 AM,8:00 AM,Weekday Hour,1,,
Carer 3,,BA14 0EQ,BO01,Client 67,,,,,BA2 7JQ,N.Wiltshire,Private 2016,6-Nov-20,8:30 AM,9:00 AM,Weekday Half Hour,0.5,7.25,19.57
Carer 3,,BA14 0EQ,BO01,Client 99,,,,,BA15 1PW,N.Wiltshire,Private 2016,6-Nov-20,9:15 AM,9:45 AM,Weekday Half Hour,0.5,2.462,5.22
Carer 3,,BA14 0EQ,BO01,Client 210,,,,,BA15 2DU,N.Wiltshire,Private 2016,6-Nov-20,10:00 AM,10:45 AM,Weekday Three Quarter Hour,0.75,4.207,15.34
