Employee,Employee No,Employee Postcode,Area Code,Client,Address,Address2,Town,County,Postcode,Area,Funder,Date,Start Time,End Time,Pay Rate,Hours of call,Miles,Estimated Time (Mins)
Carer 4,,NP23 6LR,WA01,Client 61,,,,,NP26 3EW,Monmouth,Social Services,07-Nov-20,8:30 AM,9:00 AM,Weekend Half Hour,0.5,,
Carer 4,,NP23 6LR,WA01,Client 169,,,,,NP26 3EW,Monmouth,Social Services,07-Nov-20,9:00 AM,10:00 AM,Weekend Hour,1,,
Carer 4,,NP23 6LR,WA01,Client 41,,,,,NP26 3SY,Monmouth,Social Services,07-Nov-20,10:15 AM,10:30 AM,Weekday Fifteen Minutes,0.25,2.51,6.44
Carer 4,,NP23 6LR,WA01,Client 35,,,,,NP26 4AJ,Monmouth,Social Services,07-Nov-20,10:45 AM,11:15 AM,Weekend Half Hour,0.5,1.499,5.04
Carer 4,,NP23 6LR,WA01,Client 169,,,,,NP26 3EW,Monmouth,Social Services,07-Nov-20,11:30 AM,12:00 PM,Weekend Half Hour,0.5,3.27,7.13
Carer 6,,NP236LR,WA07,Client 223,,,,,NP4 0LS,Monmouth,,02-Nov-20,9:00 AM,5:00 PM,,8,,
Carer 6,,NP236LR,WA07,Client 223,,,,,NP4 0LS,Monmouth,,03-Nov-20,9:00 AM,5:00 PM,,8,,
Carer 6,,NP236LR,WA07,Client 223,,,,,NP4 0LS,Monmouth,,04-Nov-20,9:00 AM,5:00 PM,,8,,
Carer 6,,NP236LR,WA07,Client 223,,,,,NP4 0LS,Monmouth,,05-Nov-20,9:00 AM,5:00 PM,,8,,
Carer 6,,NP236LR,WA07,Client 223,,,,,NP4 0LS,Monmouth,,06-Nov-20,9:00 AM,5:00 PM,,8,,
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,02-Nov-20,7:30 AM,8:30 AM,Weekday Hour,1,,
Carer 25,,NP18 3DF,WA01,Client 4,,,,,NP26 3NA,Monmouth,Social Services,02-Nov-20,9:00 AM,9:45 AM,Weekday Three Quarter Hour,0.75,0.201,1.09
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,02-Nov-20,10:00 AM,10:45 AM,Weekday Three Quarter Hour,0.75,4.422,10.54
Carer 25,,NP18 3DF,WA01,Client 208,,,,,NP26 4PL,Monmouth,Social Services,02-Nov-20,10:45 AM,11:15 AM,Weekday Half Hour,0.5,0.643,3.19
Carer 25,,NP18 3DF,WA01,Client 169,,,,,NP26 3EW,Monmouth,Social Services,02-Nov-20,11:15 AM,11:45 AM,Weekday Half Hour,0.5,4.05,10.35
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,02-Nov-20,12:00 PM,12:30 PM,Weekday Half Hour,0.5,1.245,3.3
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,02-Nov-20,12:30 PM,1:00 PM,Weekday Half Hour,0.5,9.615,13.09
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,02-Nov-20,1:30 PM,2:00 PM,Weekday Half Hour,0.5,5.405,11.42
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,02-Nov-20,3:15 PM,3:45 PM,Weekday Half Hour,0.5,5.482,11.45
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,02-Nov-20,4:30 PM,5:00 PM,Weekday Half Hour,0.5,10.316,13.11
Carer 25,,NP18 3DF,WA01,Client 40,,,,,NP26 3SY,Monmouth,Social Services,02-Nov-20,5:00 PM,5:30 PM,Weekday Half Hour,0.5,3.124,7.1
Carer 25,,NP18 3DF,WA01,Client 150,,,,,NP26 5BJ,Monmouth,Social Services,02-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,3.067,9.07
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,02-Nov-20,6:00 PM,6:30 PM,Weekday Half Hour,0.5,2.707,8.07
Carer 25,,NP18 3DF,WA01,Client 35,,,,,NP26 4AJ,Monmouth,Social Services,02-Nov-20,6:45 PM,7:15 PM,Weekday Half Hour,0.5,0.394,2.02
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,02-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,3.884,7.46
Carer 25,,NP18 3DF,WA01,Client 178,,,,,NP26 5TL,Monmouth,Social Services,02-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,5.86,13.16
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,02-Nov-20,9:00 PM,9:30 PM,Weekday Half Hour,0.5,1.69,6.42
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,02-Nov-20,9:30 PM,10:00 PM,Weekday Half Hour,0.5,5.482,11.45
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,04-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 25,,NP18 3DF,WA01,Client 40,,,,,NP26 3SY,Monmouth,Social Services,04-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,6.912,15.12
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,04-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,1.867,6.46
Carer 25,,NP18 3DF,WA01,Client 209,,,,,NP26 4PL,Monmouth,Social Services,04-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour,0.5,0.643,3.19
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,04-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,4.664,11.12
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,04-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,9.615,13.09
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,04-Nov-20,9:15 PM,9:45 PM,Weekday Half Hour,0.5,5.405,11.42
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,05-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,05-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,10.316,13.11
Carer 25,,NP18 3DF,WA01,Client 40,,,,,NP26 3SY,Monmouth,Social Services,05-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,3.124,7.1
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,05-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,1.867,6.46
Carer 25,,NP18 3DF,WA01,Client 209,,,,,NP26 4PL,Monmouth,Social Services,05-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour,0.5,0.643,3.19
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,05-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,4.664,11.12
Carer 25,,NP18 3DF,WA01,Client 63,,,,,NP26 3BZ,Monmouth,Social Services,05-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,,
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,05-Nov-20,8:45 PM,9:15 PM,Weekday Half Hour,0.5,9.615,13.09
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,05-Nov-20,9:15 PM,9:45 PM,Weekday Half Hour,0.5,5.405,11.42
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,06-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,06-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,10.316,13.11
Carer 25,,NP18 3DF,WA01,Client 40,,,,,NP26 3SY,Monmouth,Social Services,06-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,3.124,7.1
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,06-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,1.867,6.46
Carer 25,,NP18 3DF,WA01,Client 209,,,,,NP26 4PL,Monmouth,Social Services,06-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour,0.5,0.643,3.19
Carer 25,,NP18 3DF,WA01,Client 62,,,,,NP26 3BZ,Monmouth,Social Services,06-Nov-20,7:45 PM,8:15 PM,Weekday Half Hour,0.5,4.664,11.12
Carer 25,,NP18 3DF,WA01,Client 149,,,,,NP16 5RG,Monmouth,Chepstow Block,06-Nov-20,8:45 PM,9:15 PM,Weekday Half Hour,0.5,9.615,13.09
Carer 25,,NP18 3DF,WA01,Client 143,,,,,NP26 5DN,Monmouth,Social Services,06-Nov-20,9:15 PM,9:45 PM,Weekday Half Hour,0.5,5.405,11.42
Carer 26,,NP7 9AT,WA01,Client 164,,,,,NP7 8DW,Monmouth,Aneurin Bevan CP,03-Nov-20,7:00 PM,9:00 PM,Weekday Hour,2,,
Carer 26,,NP7 9AT,WA01,Client 112,,,,,NP7 6EL,Monmouth,Social Services,04-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 26,,NP7 9AT,WA01,Client 69,,,,,NP7 5SP,Monmouth,Social Services,04-Nov-20,4:30 PM,5:00 PM,Weekday Half Hour,0.5,0.85,3.18
Carer 26,,NP7 9AT,WA01,Client 232,,,,,NP7 6EY,Monmouth,Social Services,04-Nov-20,5:00 PM,5:30 PM,Weekday Half Hour,0.5,0.414,1.16
Carer 26,,NP7 9AT,WA01,Client 185,,,,,NP7 6EE,Monmouth,Social Services,04-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,0.493,2.33
Carer 26,,NP7 9AT,WA01,Client 212,,,,,NP7 0AE,Monmouth,Social Services,04-Nov-20,6:05 PM,6:35 PM,Weekday Half Hour,0.5,4.361,9.22
Carer 26,,NP7 9AT,WA01,Client 219,,,,,NP7 9UR,Monmouth,Social Services,04-Nov-20,7:15 PM,7:30 PM,Weekday Fifteen Minutes,0.25,7.723,13.4
Carer 26,,NP7 9AT,WA01,Client 232,,,,,NP7 6EY,Monmouth,Social Services,04-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,6.251,13.49
Carer 26,,NP7 9AT,WA01,Client 230,,,,,NP7 6EY,Monmouth,Social Services,04-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,,
Carer 26,,NP7 9AT,WA01,Client 112,,,,,NP7 6EL,Monmouth,Social Services,04-Nov-20,8:30 PM,8:45 PM,Weekday Fifteen Minutes,0.25,0.664,3.09
Carer 26,,NP7 9AT,WA01,Client 69,,,,,NP7 5SP,Monmouth,Social Services,04-Nov-20,9:15 PM,9:45 PM,Weekday Half Hour,0.5,0.85,3.18
Carer 26,,NP7 9AT,WA01,Client 112,,,,,NP7 6EL,Monmouth,Social Services,05-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 26,,NP7 9AT,WA01,Client 69,,,,,NP7 5SP,Monmouth,Social Services,05-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,0.85,3.18
Carer 26,,NP7 9AT,WA01,Client 232,,,,,NP7 6EY,Monmouth,Social Services,05-Nov-20,5:15 PM,5:45 PM,Weekday Half Hour,0.5,0.414,1.16
Carer 26,,NP7 9AT,WA01,Client 185,,,,,NP7 6EE,Monmouth,Social Services,05-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,0.493,2.33
Carer 26,,NP7 9AT,WA01,Client 212,,,,,NP7 0AE,Monmouth,Social Services,05-Nov-20,6:45 PM,7:15 PM,Weekday Half Hour,0.5,4.361,9.22
Carer 26,,NP7 9AT,WA01,Client 219,,,,,NP7 9UR,Monmouth,Social Services,05-Nov-20,7:45 PM,8:00 PM,Weekday Fifteen Minutes,0.25,7.723,13.4
Carer 26,,NP7 9AT,WA01,Client 230,,,,,NP7 6EY,Monmouth,Social Services,05-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,6.251,13.49
