Employee,Employee No,Employee Postcode,Area Code,Client,Address,Address2,Town,County,Postcode,Area,Funder,Date,Start Time,End Time,Pay Rate,Hours of call,Miles,Estimated Time (Mins)
Carer 7,,SP2 8LU,SA02,Client 5,,,,,SP2 8JJ,Salisbury,Social Services Zone 3,02-Nov-20,7:45 AM,8:45 AM,Weekday Hour,1,,
Carer 7,,SP2 8LU,,Client 106,,,,,SP2 7UX,Salisbury,Private 2016,02-Nov-20,9:00 AM,9:30 AM,Weekday Half Hour,0.5,1.05,5.41
Carer 7,,SP2 8LU,SA01,Client 133,,,,,SP3 4UH,Salisbury,Social Services Zone 2,02-Nov-20,9:45 AM,10:45 AM,Weekday Hour,1,6.813,15.12
Carer 7,,SP2 8LU,,Client 57,,,,,SP1 1RZ,Salisbury,Social Services Zone 3,02-Nov-20,11:15 AM,11:45 AM,Weekday Half Hour,0.5,8.408,18.28
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,02-Nov-20,12:00 PM,12:30 PM,Weekday Half Hour,0.5,1.725,6.25
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,02-Nov-20,12:30 PM,1:00 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,02-Nov-20,1:00 PM,1:30 PM,Weekday Half Hour,0.5,1.077,3.5
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,02-Nov-20,4:00 PM,4:45 PM,Weekday Three Quarter Hour,0.75,,
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,02-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,1.066,3.49
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,02-Nov-20,5:15 PM,5:45 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 78,,,,,SP1 3LD,Salisbury,Private 2016,02-Nov-20,5:45 PM,6:00 PM,Weekday Fifteen Minutes,0.25,1.193,4.37
Carer 7,,SP2 8LU,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,02-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,3.84,11.21
Carer 7,,SP2 8LU,SA02,Client 3,,,,,SP1 3AG,Salisbury,Social Services Zone 3,02-Nov-20,6:45 PM,7:15 PM,Weekday Half Hour,0.5,2.49,7.08
Carer 7,,SP2 8LU,,Client 116,,,,,SP5 3BY,Salisbury,Private 2016,02-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour Night,0.5,2.702,9.08
Carer 7,,SP2 8LU,,Client 34,,,,,SP1 3DY,Salisbury,Private 2016,02-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour Night,0.5,2.645,9.03
Carer 7,,SP2 8LU,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,02-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,1.513,5.24
Carer 7,,SP2 8LU,SA02,Client 5,,,,,SP2 8JJ,Salisbury,Social Services Zone 3,03-Nov-20,8:00 AM,9:00 AM,Weekday Hour,1,2.299,7.04
Carer 7,,SP2 8LU,SA01,Client 133,,,,,SP3 4UH,Salisbury,Social Services Zone 2,03-Nov-20,9:45 AM,10:45 AM,Weekday Hour,1,9.029,16.57
Carer 7,,SP2 8LU,SA02,Client 84,,,,,SP2 8HU,Salisbury,Private 2016,03-Nov-20,11:00 AM,1:00 PM,Weekday Hour,2,8.627,15.31
Carer 7,,SP2 8LU,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,03-Nov-20,1:15 PM,1:45 PM,Weekday Half Hour,0.5,3.005,8.21
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,03-Nov-20,4:00 PM,4:45 PM,Weekday Three Quarter Hour,0.75,1.217,4.36
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,03-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,1.066,3.49
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,03-Nov-20,5:15 PM,5:45 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 78,,,,,SP1 3LD,Salisbury,Private 2016,03-Nov-20,6:00 PM,6:15 PM,Weekday Fifteen Minutes,0.25,1.193,4.37
Carer 7,,SP2 8LU,SA02,Client 3,,,,,SP1 3AG,Salisbury,Social Services Zone 3,03-Nov-20,6:45 PM,7:15 PM,Weekday Half Hour,0.5,1.301,5.31
Carer 7,,SP2 8LU,,Client 116,,,,,SP5 3BY,Salisbury,Private 2016,03-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour Night,0.5,2.702,9.08
Carer 7,,SP2 8LU,,Client 34,,,,,SP1 3DY,Salisbury,Private 2016,03-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour Night,0.5,2.645,9.03
Carer 7,,SP2 8LU,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,03-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,1.513,5.24
Carer 7,,SP2 8LU,SA02,Client 5,,,,,SP2 8JJ,Salisbury,Social Services Zone 3,04-Nov-20,8:00 AM,9:00 AM,Weekday Hour,1,2.299,7.04
Carer 7,,SP2 8LU,SA01,Client 133,,,,,SP3 4UH,Salisbury,Social Services Zone 2,04-Nov-20,9:45 AM,10:45 AM,Weekday Hour,1,9.029,16.57
Carer 7,,SP2 8LU,,Client 57,,,,,SP1 1RZ,Salisbury,Social Services Zone 3,04-Nov-20,11:00 AM,11:30 AM,Weekday Half Hour,0.5,8.408,18.28
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,04-Nov-20,12:00 PM,12:30 PM,Weekday Half Hour,0.5,1.725,6.25
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,04-Nov-20,12:30 PM,1:00 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,04-Nov-20,1:00 PM,1:30 PM,Weekday Half Hour,0.5,1.077,3.5
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,04-Nov-20,4:00 PM,4:45 PM,Weekday Three Quarter Hour,0.75,,
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,04-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,1.066,3.49
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,04-Nov-20,5:15 PM,5:45 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,04-Nov-20,6:00 PM,6:30 PM,Weekday Half Hour,0.5,2.906,8.03
Carer 7,,SP2 8LU,SA02,Client 3,,,,,SP1 3AG,Salisbury,Social Services Zone 3,08-Nov-20,7:00 AM,8:00 AM,Weekday Hour,1,,
Carer 7,,SP2 8LU,SA02,Client 5,,,,,SP2 8JJ,Salisbury,Social Services Zone 3,08-Nov-20,8:00 AM,9:00 AM,Weekday Hour,1,2.372,8.05
Carer 7,,SP2 8LU,SA01,Client 133,,,,,SP3 4UH,Salisbury,Social Services Zone 2,08-Nov-20,9:45 AM,10:45 AM,Weekday Hour,1,9.029,16.57
Carer 7,,SP2 8LU,SA02,Client 104,,,,,SP1 3BL,Salisbury,Private 2016,08-Nov-20,12:00 PM,12:30 PM,Weekend Half Hour,0.5,7.052,15.36
Carer 7,,SP2 8LU,SA02,Client 103,,,,,SP1 3BL,Salisbury,Private 2016,08-Nov-20,12:30 PM,1:00 PM,Weekend Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 12,,,,,SP1 3QT,Salisbury,Social Services Zone 3,08-Nov-20,1:00 PM,1:30 PM,Weekday Half Hour,0.5,1.077,3.5
Carer 7,,SP2 8LU,,Client 89,,,,,SP1 1NF,Salisbury,Social Services Zone 3,08-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,1.955,6.59
Carer 7,,SP2 8LU,,Client 16,,,,,SP2 7XX,Salisbury,Social Services Zone 3,08-Nov-20,4:45 PM,5:15 PM,Weekday Half Hour,0.5,,
Carer 7,,SP2 8LU,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,08-Nov-20,6:00 PM,6:30 PM,Weekend Half Hour,0.5,,
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,02-Nov-20,8:00 AM,9:15 AM,Weekday Hour,1.25,,
Carer 13,,SP27HD,,Client 78,,,,,SP1 3LD,Salisbury,Private 2016,02-Nov-20,9:30 AM,10:00 AM,Weekday Half Hour,0.5,3.855,11.21
Carer 13,,SP27HD,,Client 152,,,,,SP1 1NA,Salisbury,Private 2016,02-Nov-20,10:00 AM,11:00 AM,Weekday Hour,1,2.053,7.33
Carer 13,,SP27HD,,Client 136,,,,,SP2 8DR,Salisbury,Private 2016,02-Nov-20,11:30 AM,12:00 PM,Weekday Half Hour,0.5,1.98,6.32
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,02-Nov-20,12:15 PM,12:45 PM,Weekday Half Hour,0.5,1.085,3.26
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,03-Nov-20,8:00 AM,9:00 AM,Weekday Hour,1,,
Carer 13,,SP27HD,,Client 152,,,,,SP1 1NA,Salisbury,Private 2016,03-Nov-20,9:00 AM,9:30 AM,Weekday Half Hour,0.5,2.426,7.55
Carer 13,,SP27HD,,Client 32,,,,,BA12 7BQ,Salisbury,Social Services Zone 2,03-Nov-20,10:00 AM,1:00 PM,Weekday Hour,3,20.543,35.01
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,05-Nov-20,8:00 AM,9:00 AM,Weekday Hour,1,,
Carer 13,,SP27HD,,Client 152,,,,,SP1 1NA,Salisbury,Private 2016,05-Nov-20,9:00 AM,9:30 AM,Weekday Half Hour,0.5,2.426,7.55
Carer 13,,SP27HD,,Client 32,,,,,BA12 7BQ,Salisbury,Social Services Zone 2,05-Nov-20,10:00 AM,2:00 PM,Weekday Hour,4,20.543,35.01
Carer 13,,SP27HD,,Client 100,,,,,SP5 3JR,Salisbury,Social Services Zone 2,05-Nov-20,5:00 PM,5:30 PM,Weekday Half Hour,0.5,26.675,44.21
Carer 13,,SP27HD,,Client 37,,,,,SP5 3NS,Salisbury,Social Services Zone 2,05-Nov-20,5:30 PM,6:00 PM,Weekday Half Hour,0.5,1.253,4.21
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,05-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,6.46,12.49
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,06-Nov-20,7:30 AM,8:45 AM,Weekday Hour,1.25,,
Carer 13,,SP27HD,,Client 106,,,,,SP2 7UX,Salisbury,Private 2016,06-Nov-20,9:00 AM,9:30 AM,Weekday Half Hour,0.5,2.051,7.23
Carer 13,,SP27HD,,Client 152,,,,,SP1 1NA,Salisbury,Private 2016,06-Nov-20,10:00 AM,11:00 AM,Weekday Hour,1,2.199,9.03
Carer 13,,SP27HD,SA02,Client 160,,,,,SP13DZ,Salisbury,Private,06-Nov-20,11:00 AM,11:30 AM,Weekday Half Hour,0.5,1.569,5.58
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,06-Nov-20,12:15 PM,12:45 PM,Weekday Half Hour,0.5,3.327,10.02
Carer 13,,SP27HD,SA01,Client 240,,,,,SP4 7QE,Salisbury,,06-Nov-20,2:00 PM,2:30 PM,,0.5,11.267,23.1
Carer 13,,SP27HD,,Client 197,,,,,SP2 8NB,Salisbury,Private 2016,07-Nov-20,8:00 AM,9:00 AM,Weekend Hour,1,,
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,02-Nov-20,1:00 PM,4:00 PM,Weekday Hour,3,,
Carer 16,,SP4 8fy,,Client 89,,,,,SP1 1NF,Salisbury,Social Services Zone 3,02-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,4.302,12.53
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,02-Nov-20,4:30 PM,5:00 PM,Weekday Half Hour,0.5,4.916,14.28
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,02-Nov-20,5:00 PM,6:00 PM,Weekday Hour,1,0.838,4.4
Carer 16,,SP4 8fy,,Client 176,,,,,SP2 7EL,Salisbury,Social Services Zone 3,02-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,2.498,7.11
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,02-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour Night,0.5,3.11,8.58
Carer 16,,SP4 8fy,,Client 46,,,,,SP2 0JA,Salisbury,Social Services Zone 3,02-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,0.922,3.34
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,02-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,0.589,3.39
Carer 16,,SP4 8fy,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,02-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,3.391,9.01
Carer 16,,SP4 8fy,,Client 89,,,,,SP1 1NF,Salisbury,Social Services Zone 3,04-Nov-20,4:00 PM,4:30 PM,Weekday Half Hour,0.5,,
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,04-Nov-20,4:30 PM,5:00 PM,Weekday Half Hour,0.5,4.916,14.28
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,04-Nov-20,5:00 PM,6:00 PM,Weekday Hour,1,0.838,4.4
Carer 16,,SP4 8fy,,Client 176,,,,,SP2 7EL,Salisbury,Social Services Zone 3,04-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,2.498,7.11
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,04-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour Night,0.5,3.11,8.58
Carer 16,,SP4 8fy,,Client 46,,,,,SP2 0JA,Salisbury,Social Services Zone 3,04-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,0.922,3.34
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,04-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,0.589,3.39
Carer 16,,SP4 8fy,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,04-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,3.391,9.01
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,06-Nov-20,4:30 PM,5:00 PM,Weekday Half Hour,0.5,,
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,06-Nov-20,5:00 PM,6:00 PM,Weekday Hour,1,0.838,4.4
Carer 16,,SP4 8fy,,Client 176,,,,,SP2 7EL,Salisbury,Social Services Zone 3,06-Nov-20,6:15 PM,6:45 PM,Weekday Half Hour,0.5,2.498,7.11
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,06-Nov-20,7:00 PM,7:30 PM,Weekday Half Hour Night,0.5,3.11,8.58
Carer 16,,SP4 8fy,,Client 46,,,,,SP2 0JA,Salisbury,Social Services Zone 3,06-Nov-20,7:30 PM,8:00 PM,Weekday Half Hour,0.5,0.922,3.34
Carer 16,,SP4 8fy,SA02,Client 227,,,,,SP2 0JP,Salisbury,Social Services Zone 3,06-Nov-20,8:00 PM,8:30 PM,Weekday Half Hour,0.5,0.589,3.39
Carer 16,,SP4 8fy,,Client 45,,,,,SP2 7AX,Salisbury,Social Services Zone 3,06-Nov-20,8:30 PM,9:00 PM,Weekday Half Hour,0.5,3.391,9.01
Carer 16,,SP4 8fy,,Client 173,,,,,SP2 0LB,Salisbury,Private 2016,07-Nov-20,4:00 PM,4:30 PM,Weekend Half Hour,0.5,,
