Employee,Employee Postcode,Area Code,Client,Postcode,Area,Date,Start Time,End Time,Hours of call,Miles,Estimated Time (Mins),,Private,Index
Carer 7,SP2 8LU,SA02,Client 5,SP2 8JJ,Salisbury,03-Nov-20,8:00 AM,9:00 AM,1,2.299,7.04,,,0
Carer 7,SP2 8LU,SA01,Client 133,SP3 4UH,Salisbury,03-Nov-20,9:45 AM,10:45 AM,1,9.029,16.57,,client,1
Carer 7,SP2 8LU,SA02,Client 84,SP2 8HU,Salisbury,03-Nov-20,11:00 AM,1:00 PM,2,8.627,15.31,,,2
Carer 7,SP2 8LU,,Client 45,SP2 7AX,Salisbury,03-Nov-20,1:15 PM,1:45 PM,0.5,3.005,8.21,,,3
Carer 7,SP2 8LU,,Client 12,SP1 3QT,Salisbury,03-Nov-20,4:00 PM,4:45 PM,0.75,1.217,4.36,,,4
Carer 7,SP2 8LU,SA02,Client 104,SP1 3BL,Salisbury,03-Nov-20,4:45 PM,5:15 PM,0.5,1.066,3.49,,client,5
Carer 7,SP2 8LU,SA02,Client 103,SP1 3BL,Salisbury,03-Nov-20,5:15 PM,5:45 PM,0.5,,,,client,6
Carer 7,SP2 8LU,,Client 78,SP1 3LD,Salisbury,03-Nov-20,6:00 PM,6:15 PM,0.25,1.193,4.37,,client,7
Carer 7,SP2 8LU,SA02,Client 3,SP1 3AG,Salisbury,03-Nov-20,6:45 PM,7:15 PM,0.5,1.301,5.31,,,8
Carer 7,SP2 8LU,,Client 116,SP5 3BY,Salisbury,03-Nov-20,7:30 PM,8:00 PM,0.5,2.702,9.08,,,9
Carer 7,SP2 8LU,,Client 34,SP1 3DY,Salisbury,03-Nov-20,8:00 PM,8:30 PM,0.5,2.645,9.03,,,10
Carer 7,SP2 8LU,,Client 45,SP2 7AX,Salisbury,03-Nov-20,8:30 PM,9:00 PM,0.5,1.513,5.24,,,11
,,,,,,,,,,,,,,
Carer 13,SP27HD,,Client 197,SP2 8NB,Salisbury,03-Nov-20,8:00 AM,9:00 AM,1,,,,,12
Carer 13,SP27HD,,Client 152,SP1 1NA,Salisbury,03-Nov-20,9:00 AM,9:30 AM,0.5,2.426,7.55,,client,13
Carer 13,SP27HD,,Client 32,BA12 7BQ,Salisbury,03-Nov-20,10:00 AM,1:00 PM,3,20.543,35.01,,client,14
,,,,,,,,,,,,,,
Carer 18,SP4 9DW,,Client 173,SP2 0LB,Salisbury,03-Nov-20,8:45 AM,9:15 AM,0.5,,,,,15
Carer 18,SP4 9DW,,Client 173,SP2 0LB,Salisbury,03-Nov-20,10:00 AM,12:00 PM,2,,,,,16
Carer 18,SP4 9DW,,Client 188,SP2 8AN,Salisbury,03-Nov-20,1:00 PM,4:00 PM,3,5.184,12.26,,,17
,,,,,,,,,,,,,,
Carer 21,,,Client 2,SP1 3NR,Salisbury,03-Nov-20,3:15 PM,4:15 PM,1,,,,both,18
,,,,,,,,,,,,,,
Carer 24,SP4 7XH,,Client 184,SP4 8EQ,Salisbury,03-Nov-20,8:00 AM,8:45 AM,0.75,,,,,19
Carer 24,SP4 7XH,,Client 91,SP4 7JX,Salisbury,03-Nov-20,9:00 AM,9:45 AM,0.75,2.254,6.36,,,20
Carer 24,SP4 7XH,SA01,Client 237,SP4 7QY,Salisbury,03-Nov-20,10:00 AM,11:30 AM,1.5,1.51,4.55,,client,21
Carer 24,SP4 7XH,SA01,Client 237,SP4 7QY,Salisbury,03-Nov-20,11:30 AM,12:00 PM,0.5,,,,client,22
Carer 24,SP4 7XH,,Client 91,SP4 7JX,Salisbury,03-Nov-20,12:15 PM,12:45 PM,0.5,1.286,4.2,,,23
Carer 24,SP4 7XH,,Client 184,SP4 8EQ,Salisbury,03-Nov-20,1:00 PM,1:30 PM,0.5,2.239,6.38,,,24
