,Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,post
708,SP7 8HB,SP7  8HB,SP7 8HB,Jan-80,0,386251,122840,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020457,,E02004257,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-2.197328,51.00478,Postcode Level,04/01/2018,"(51.00478, -2.197328)",1467458,sp78hb
825,SP105EL,SP10 5EL,SP10 5EL,Jan-80,0,437304,146677,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023205,,E02004815,,8D3,Hard-pressed living;Migration and churn;Hard-Pressed European Settlers,-1.467262,51.218079,Postcode Level,04/01/2018,"(51.218079, -1.467262)",1461642,sp105el
857,SP116PZ,SP11 6PZ,SP11 6PZ,Jan-80,0,443289,144572,1,E10000014,Hampshire,E07000093,Test Valley,E05004640,Harewood,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023178,,E02004821,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.381827,51.198731,Postcode Level,04/01/2018,"(51.198731, -1.381827)",1462210,sp116pz
932,SP118LS,SP11 8LS,SP11 8LS,Jan-80,0,429259,145787,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023198,,E02004820,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.582519,51.210544,Postcode Level,04/01/2018,"(51.210544, -1.582519)",1462661,sp118ls
1123,SP103TH,SP10 3TH,SP10 3TH,Feb-04,0,435007,145412,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023186,,E02004818,,5A1,Urbanites;Urban professionals and families;White professionals,-1.500272,51.20685,Postcode Level,04/01/2018,"(51.20685, -1.500272)",1461427,sp103th
1257,SP6 2NW,SP6  2NW,SP6 2NW,Jan-80,0,419746,119469,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023012,,E02004779,,1B1,Rural residents;Rural tenants;Rural life,-1.720133,50.974299,Postcode Level,04/01/2018,"(50.974299, -1.720133)",1466915,sp62nw
1714,SP2 8HD,SP2  8HD,SP2 8HD,Jan-80,0,413362,129126,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008388,Salisbury Harnham,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032008,,E02006673,,8A1,Hard-pressed living;Industrious communities;Industrious transitions,-1.810706,51.061319,Postcode Level,04/01/2018,"(51.061319, -1.810706)",1463559,sp28hd
1741,SP116YB,SP11 6YB,SP11 6YB,Apr-17,0,436926,148140,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.472511,51.231255,Postcode Level,04/01/2018,"(51.231255, -1.472511)",1462320,sp116yb
1778,SP4 0HG,SP4  0HG,SP4 0HG,Jan-80,0,421553,140506,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032033,,E02006664,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.693149,51.1634,Postcode Level,04/01/2018,"(51.1634, -1.693149)",1464598,sp40hg
1921,SP9 7GT,SP9  7GT,SP9 7GT,Dec-14,0,423416,149159,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031879,,E02006643,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.665945,51.241133,Postcode Level,04/01/2018,"(51.241133, -1.665945)",1468395,sp97gt
